,Dataset,CC_id,mean_abundance,Year,Season
1,ASTAN,CC_unknown_12,0.05,2009,1
2,ASTAN,CC_unknown_12,0.05,2010,1
3,ASTAN,CC_unknown_12,0.05,2011,NA
4,ASTAN,CC_unknown_12,0.05,2012,NA
5,ASTAN,CC_unknown_12,0.05,2013,1
6,ASTAN,CC_unknown_12,0.05,2014,2
7,ASTAN,CC_unknown_12,0.05,2015,1
8,ASTAN,CC_unknown_12,0.05,2016,2
9,ASTAN,CC_unknown_13,0.98,2009,3
10,ASTAN,CC_unknown_13,0.98,2010,4
11,ASTAN,CC_unknown_13,0.98,2011,4
12,ASTAN,CC_unknown_13,0.98,2012,4
13,ASTAN,CC_unknown_13,0.98,2013,4
14,ASTAN,CC_unknown_13,0.98,2014,3
15,ASTAN,CC_unknown_13,0.98,2015,4
16,ASTAN,CC_unknown_13,0.98,2016,4
17,ASTAN,CC_unknown_20,0.18,2009,3
18,ASTAN,CC_unknown_20,0.18,2010,3
19,ASTAN,CC_unknown_20,0.18,2011,3
20,ASTAN,CC_unknown_20,0.18,2012,3
21,ASTAN,CC_unknown_20,0.18,2013,2
22,ASTAN,CC_unknown_20,0.18,2014,2
23,ASTAN,CC_unknown_20,0.18,2015,NA
24,ASTAN,CC_unknown_20,0.18,2016,2
25,ASTAN,CC_unknown_30,NA,2009,3
26,ASTAN,CC_unknown_30,NA,2010,1
27,ASTAN,CC_unknown_30,NA,2011,1
28,ASTAN,CC_unknown_30,NA,2012,1
29,ASTAN,CC_unknown_30,NA,2013,NA
30,ASTAN,CC_unknown_30,NA,2014,NA
31,ASTAN,CC_unknown_30,NA,2015,NA
32,ASTAN,CC_unknown_30,NA,2016,NA
33,ASTAN,CC_unknown_35,0.03,2009,1
34,ASTAN,CC_unknown_35,0.03,2010,4
35,ASTAN,CC_unknown_35,0.03,2011,2
36,ASTAN,CC_unknown_35,0.03,2012,2
37,ASTAN,CC_unknown_35,0.03,2013,1
38,ASTAN,CC_unknown_35,0.03,2014,2
39,ASTAN,CC_unknown_35,0.03,2015,2
40,ASTAN,CC_unknown_35,0.03,2016,1
41,ASTAN,CC_unknown_58,0.01,2009,3
42,ASTAN,CC_unknown_58,0.01,2010,2
43,ASTAN,CC_unknown_58,0.01,2011,2
44,ASTAN,CC_unknown_58,0.01,2012,1
45,ASTAN,CC_unknown_58,0.01,2013,1
46,ASTAN,CC_unknown_58,0.01,2014,NA
47,ASTAN,CC_unknown_58,0.01,2015,NA
48,ASTAN,CC_unknown_58,0.01,2016,1
49,ASTAN,CC_unknown_62,0.06,2009,2
50,ASTAN,CC_unknown_62,0.06,2010,3
51,ASTAN,CC_unknown_62,0.06,2011,2
52,ASTAN,CC_unknown_62,0.06,2012,4
53,ASTAN,CC_unknown_62,0.06,2013,3
54,ASTAN,CC_unknown_62,0.06,2014,3
55,ASTAN,CC_unknown_62,0.06,2015,4
56,ASTAN,CC_unknown_62,0.06,2016,2
57,ASTAN,CC_unknown_80,0.06,2009,2
58,ASTAN,CC_unknown_80,0.06,2010,2
59,ASTAN,CC_unknown_80,0.06,2011,3
60,ASTAN,CC_unknown_80,0.06,2012,3
61,ASTAN,CC_unknown_80,0.06,2013,2
62,ASTAN,CC_unknown_80,0.06,2014,2
63,ASTAN,CC_unknown_80,0.06,2015,3
64,ASTAN,CC_unknown_80,0.06,2016,4
65,ASTAN,CC_unknown_126,0.94,2009,4
66,ASTAN,CC_unknown_126,0.94,2010,4
67,ASTAN,CC_unknown_126,0.94,2011,4
68,ASTAN,CC_unknown_126,0.94,2012,4
69,ASTAN,CC_unknown_126,0.94,2013,4
70,ASTAN,CC_unknown_126,0.94,2014,4
71,ASTAN,CC_unknown_126,0.94,2015,4
72,ASTAN,CC_unknown_126,0.94,2016,4
73,ASTAN,CC_unknown_134,0.39,2009,2
74,ASTAN,CC_unknown_134,0.39,2010,4
75,ASTAN,CC_unknown_134,0.39,2011,3
76,ASTAN,CC_unknown_134,0.39,2012,2
77,ASTAN,CC_unknown_134,0.39,2013,3
78,ASTAN,CC_unknown_134,0.39,2014,4
79,ASTAN,CC_unknown_134,0.39,2015,2
80,ASTAN,CC_unknown_134,0.39,2016,2
81,ASTAN,CC_unknown_154,0.28,2009,NA
82,ASTAN,CC_unknown_154,0.28,2010,2
83,ASTAN,CC_unknown_154,0.28,2011,2
84,ASTAN,CC_unknown_154,0.28,2012,2
85,ASTAN,CC_unknown_154,0.28,2013,2
86,ASTAN,CC_unknown_154,0.28,2014,2
87,ASTAN,CC_unknown_154,0.28,2015,2
88,ASTAN,CC_unknown_154,0.28,2016,2
89,ASTAN,CC_unknown_168,NA,2009,1
90,ASTAN,CC_unknown_168,NA,2010,1
91,ASTAN,CC_unknown_168,NA,2011,NA
92,ASTAN,CC_unknown_168,NA,2012,NA
93,ASTAN,CC_unknown_168,NA,2013,NA
94,ASTAN,CC_unknown_168,NA,2014,2
95,ASTAN,CC_unknown_168,NA,2015,NA
96,ASTAN,CC_unknown_168,NA,2016,1
97,ASTAN,CC_unknown_172,0.48,2009,3
98,ASTAN,CC_unknown_172,0.48,2010,4
99,ASTAN,CC_unknown_172,0.48,2011,4
100,ASTAN,CC_unknown_172,0.48,2012,3
101,ASTAN,CC_unknown_172,0.48,2013,4
102,ASTAN,CC_unknown_172,0.48,2014,3
103,ASTAN,CC_unknown_172,0.48,2015,3
104,ASTAN,CC_unknown_172,0.48,2016,2
105,ASTAN,CC_unknown_183,0.52,2009,3
106,ASTAN,CC_unknown_183,0.52,2010,2
107,ASTAN,CC_unknown_183,0.52,2011,3
108,ASTAN,CC_unknown_183,0.52,2012,4
109,ASTAN,CC_unknown_183,0.52,2013,3
110,ASTAN,CC_unknown_183,0.52,2014,3
111,ASTAN,CC_unknown_183,0.52,2015,3
112,ASTAN,CC_unknown_183,0.52,2016,3
113,ASTAN,CC_unknown_227,0.04,2009,1
114,ASTAN,CC_unknown_227,0.04,2010,1
115,ASTAN,CC_unknown_227,0.04,2011,NA
116,ASTAN,CC_unknown_227,0.04,2012,2
117,ASTAN,CC_unknown_227,0.04,2013,1
118,ASTAN,CC_unknown_227,0.04,2014,3
119,ASTAN,CC_unknown_227,0.04,2015,3
120,ASTAN,CC_unknown_227,0.04,2016,4
121,ASTAN,CC_unknown_257,0.52,2009,4
122,ASTAN,CC_unknown_257,0.52,2010,4
123,ASTAN,CC_unknown_257,0.52,2011,3
124,ASTAN,CC_unknown_257,0.52,2012,4
125,ASTAN,CC_unknown_257,0.52,2013,4
126,ASTAN,CC_unknown_257,0.52,2014,3
127,ASTAN,CC_unknown_257,0.52,2015,3
128,ASTAN,CC_unknown_257,0.52,2016,3
129,ASTAN,CC_unknown_272,0.35,2009,2
130,ASTAN,CC_unknown_272,0.35,2010,3
131,ASTAN,CC_unknown_272,0.35,2011,3
132,ASTAN,CC_unknown_272,0.35,2012,3
133,ASTAN,CC_unknown_272,0.35,2013,3
134,ASTAN,CC_unknown_272,0.35,2014,2
135,ASTAN,CC_unknown_272,0.35,2015,3
136,ASTAN,CC_unknown_272,0.35,2016,2
137,ASTAN,CC_unknown_370,0.23,2009,2
138,ASTAN,CC_unknown_370,0.23,2010,1
139,ASTAN,CC_unknown_370,0.23,2011,2
140,ASTAN,CC_unknown_370,0.23,2012,3
141,ASTAN,CC_unknown_370,0.23,2013,2
142,ASTAN,CC_unknown_370,0.23,2014,2
143,ASTAN,CC_unknown_370,0.23,2015,2
144,ASTAN,CC_unknown_370,0.23,2016,2
145,ASTAN,CC_unknown_462,NA,2009,1
146,ASTAN,CC_unknown_462,NA,2010,NA
147,ASTAN,CC_unknown_462,NA,2011,NA
148,ASTAN,CC_unknown_462,NA,2012,NA
149,ASTAN,CC_unknown_462,NA,2013,NA
150,ASTAN,CC_unknown_462,NA,2014,3
151,ASTAN,CC_unknown_462,NA,2015,2
152,ASTAN,CC_unknown_462,NA,2016,2
153,ASTAN,CC_unknown_483,0.25,2009,1
154,ASTAN,CC_unknown_483,0.25,2010,1
155,ASTAN,CC_unknown_483,0.25,2011,3
156,ASTAN,CC_unknown_483,0.25,2012,3
157,ASTAN,CC_unknown_483,0.25,2013,4
158,ASTAN,CC_unknown_483,0.25,2014,2
159,ASTAN,CC_unknown_483,0.25,2015,3
160,ASTAN,CC_unknown_483,0.25,2016,3
161,ASTAN,CC_unknown_498,0.14,2009,3
162,ASTAN,CC_unknown_498,0.14,2010,3
163,ASTAN,CC_unknown_498,0.14,2011,2
164,ASTAN,CC_unknown_498,0.14,2012,1
165,ASTAN,CC_unknown_498,0.14,2013,2
166,ASTAN,CC_unknown_498,0.14,2014,NA
167,ASTAN,CC_unknown_498,0.14,2015,2
168,ASTAN,CC_unknown_498,0.14,2016,2
169,ASTAN,CC_unknown_530,0.23,2009,4
170,ASTAN,CC_unknown_530,0.23,2010,3
171,ASTAN,CC_unknown_530,0.23,2011,1
172,ASTAN,CC_unknown_530,0.23,2012,4
173,ASTAN,CC_unknown_530,0.23,2013,3
174,ASTAN,CC_unknown_530,0.23,2014,4
175,ASTAN,CC_unknown_530,0.23,2015,4
176,ASTAN,CC_unknown_530,0.23,2016,4
177,ASTAN,CC_unknown_532,0.99,2009,3
178,ASTAN,CC_unknown_532,0.99,2010,4
179,ASTAN,CC_unknown_532,0.99,2011,4
180,ASTAN,CC_unknown_532,0.99,2012,3
181,ASTAN,CC_unknown_532,0.99,2013,4
182,ASTAN,CC_unknown_532,0.99,2014,4
183,ASTAN,CC_unknown_532,0.99,2015,4
184,ASTAN,CC_unknown_532,0.99,2016,4
185,ASTAN,CC_unknown_535,0.92,2009,3
186,ASTAN,CC_unknown_535,0.92,2010,3
187,ASTAN,CC_unknown_535,0.92,2011,3
188,ASTAN,CC_unknown_535,0.92,2012,3
189,ASTAN,CC_unknown_535,0.92,2013,2
190,ASTAN,CC_unknown_535,0.92,2014,3
191,ASTAN,CC_unknown_535,0.92,2015,3
192,ASTAN,CC_unknown_535,0.92,2016,3
193,ASTAN,CC_unknown_547,0.06,2009,2
194,ASTAN,CC_unknown_547,0.06,2010,1
195,ASTAN,CC_unknown_547,0.06,2011,2
196,ASTAN,CC_unknown_547,0.06,2012,1
197,ASTAN,CC_unknown_547,0.06,2013,1
198,ASTAN,CC_unknown_547,0.06,2014,1
199,ASTAN,CC_unknown_547,0.06,2015,2
200,ASTAN,CC_unknown_547,0.06,2016,1
201,ASTAN,CC_unknown_550,0.12,2009,2
202,ASTAN,CC_unknown_550,0.12,2010,3
203,ASTAN,CC_unknown_550,0.12,2011,2
204,ASTAN,CC_unknown_550,0.12,2012,2
205,ASTAN,CC_unknown_550,0.12,2013,3
206,ASTAN,CC_unknown_550,0.12,2014,2
207,ASTAN,CC_unknown_550,0.12,2015,3
208,ASTAN,CC_unknown_550,0.12,2016,2
209,ASTAN,CC_unknown_553,NA,2009,2
210,ASTAN,CC_unknown_553,NA,2010,1
211,ASTAN,CC_unknown_553,NA,2011,1
212,ASTAN,CC_unknown_553,NA,2012,NA
213,ASTAN,CC_unknown_553,NA,2013,NA
214,ASTAN,CC_unknown_553,NA,2014,NA
215,ASTAN,CC_unknown_553,NA,2015,NA
216,ASTAN,CC_unknown_553,NA,2016,1
217,BBMO,CC_unknown_112,0.21,2004,3
218,BBMO,CC_unknown_112,0.21,2005,3
219,BBMO,CC_unknown_112,0.21,2006,2
220,BBMO,CC_unknown_112,0.21,2007,3
221,BBMO,CC_unknown_112,0.21,2008,3
222,BBMO,CC_unknown_112,0.21,2009,3
223,BBMO,CC_unknown_112,0.21,2010,3
224,BBMO,CC_unknown_112,0.21,2011,3
225,BBMO,CC_unknown_112,0.21,2012,2
226,BBMO,CC_unknown_112,0.21,2013,2
227,BBMO,CC_unknown_126,0.35,2004,2
228,BBMO,CC_unknown_126,0.35,2005,3
229,BBMO,CC_unknown_126,0.35,2006,2
230,BBMO,CC_unknown_126,0.35,2007,4
231,BBMO,CC_unknown_126,0.35,2008,3
232,BBMO,CC_unknown_126,0.35,2009,3
233,BBMO,CC_unknown_126,0.35,2010,3
234,BBMO,CC_unknown_126,0.35,2011,4
235,BBMO,CC_unknown_126,0.35,2012,2
236,BBMO,CC_unknown_126,0.35,2013,3
237,BBMO,CC_unknown_154,0.29,2004,2
238,BBMO,CC_unknown_154,0.29,2005,3
239,BBMO,CC_unknown_154,0.29,2006,3
240,BBMO,CC_unknown_154,0.29,2007,3
241,BBMO,CC_unknown_154,0.29,2008,2
242,BBMO,CC_unknown_154,0.29,2009,2
243,BBMO,CC_unknown_154,0.29,2010,2
244,BBMO,CC_unknown_154,0.29,2011,1
245,BBMO,CC_unknown_154,0.29,2012,2
246,BBMO,CC_unknown_154,0.29,2013,2
247,BBMO,CC_unknown_213,0.02,2004,2
248,BBMO,CC_unknown_213,0.02,2005,1
249,BBMO,CC_unknown_213,0.02,2006,1
250,BBMO,CC_unknown_213,0.02,2007,2
251,BBMO,CC_unknown_213,0.02,2008,2
252,BBMO,CC_unknown_213,0.02,2009,2
253,BBMO,CC_unknown_213,0.02,2010,1
254,BBMO,CC_unknown_213,0.02,2011,1
255,BBMO,CC_unknown_213,0.02,2012,2
256,BBMO,CC_unknown_213,0.02,2013,1
257,BBMO,CC_unknown_296,0.16,2004,3
258,BBMO,CC_unknown_296,0.16,2005,2
259,BBMO,CC_unknown_296,0.16,2006,2
260,BBMO,CC_unknown_296,0.16,2007,3
261,BBMO,CC_unknown_296,0.16,2008,3
262,BBMO,CC_unknown_296,0.16,2009,2
263,BBMO,CC_unknown_296,0.16,2010,2
264,BBMO,CC_unknown_296,0.16,2011,NA
265,BBMO,CC_unknown_296,0.16,2012,2
266,BBMO,CC_unknown_296,0.16,2013,1
267,BBMO,CC_unknown_389,0.08,2004,2
268,BBMO,CC_unknown_389,0.08,2005,3
269,BBMO,CC_unknown_389,0.08,2006,2
270,BBMO,CC_unknown_389,0.08,2007,4
271,BBMO,CC_unknown_389,0.08,2008,3
272,BBMO,CC_unknown_389,0.08,2009,3
273,BBMO,CC_unknown_389,0.08,2010,2
274,BBMO,CC_unknown_389,0.08,2011,1
275,BBMO,CC_unknown_389,0.08,2012,2
276,BBMO,CC_unknown_389,0.08,2013,3
277,BBMO,CC_unknown_401,0.15,2004,2
278,BBMO,CC_unknown_401,0.15,2005,1
279,BBMO,CC_unknown_401,0.15,2006,2
280,BBMO,CC_unknown_401,0.15,2007,2
281,BBMO,CC_unknown_401,0.15,2008,3
282,BBMO,CC_unknown_401,0.15,2009,1
283,BBMO,CC_unknown_401,0.15,2010,1
284,BBMO,CC_unknown_401,0.15,2011,1
285,BBMO,CC_unknown_401,0.15,2012,2
286,BBMO,CC_unknown_401,0.15,2013,1
287,SOLA,CC_unknown_126,0.77,2009,3
288,SOLA,CC_unknown_126,0.77,2010,3
289,SOLA,CC_unknown_126,0.77,2011,3
290,SOLA,CC_unknown_126,0.77,2012,3
291,SOLA,CC_unknown_126,0.77,2013,3
292,SOLA,CC_unknown_126,0.77,2014,3
293,SOLA,CC_unknown_143,0.42,2009,2
294,SOLA,CC_unknown_143,0.42,2010,1
295,SOLA,CC_unknown_143,0.42,2011,2
296,SOLA,CC_unknown_143,0.42,2012,2
297,SOLA,CC_unknown_143,0.42,2013,3
298,SOLA,CC_unknown_143,0.42,2014,2
299,SOLA,CC_unknown_149,0.41,2009,3
300,SOLA,CC_unknown_149,0.41,2010,3
301,SOLA,CC_unknown_149,0.41,2011,4
302,SOLA,CC_unknown_149,0.41,2012,2
303,SOLA,CC_unknown_149,0.41,2013,2
304,SOLA,CC_unknown_149,0.41,2014,2
305,SOLA,CC_unknown_183,0.48,2009,3
306,SOLA,CC_unknown_183,0.48,2010,2
307,SOLA,CC_unknown_183,0.48,2011,1
308,SOLA,CC_unknown_183,0.48,2012,3
309,SOLA,CC_unknown_183,0.48,2013,3
310,SOLA,CC_unknown_183,0.48,2014,2
311,SOLA,CC_unknown_425,0.21,2009,2
312,SOLA,CC_unknown_425,0.21,2010,3
313,SOLA,CC_unknown_425,0.21,2011,2
314,SOLA,CC_unknown_425,0.21,2012,3
315,SOLA,CC_unknown_425,0.21,2013,2
316,SOLA,CC_unknown_425,0.21,2014,2