Dataset;Taxo_level;Unknowns
Astan;Kingdom;2.68
Astan;Supergroup;2.78
Astan;Division;3.58
Astan;Class;7.12
Astan;Order;18.47
Astan;Family;32.53
Astan;Genus;69.09
Astan;Species;82.70
Sola;Kingdom;2.99
Sola;Supergroup;3.17
Sola;Division;4.06
Sola;Class;5.66
Sola;Order;20.04
Sola;Family;33.65
Sola;Genus;69.81
Sola;Species;83.42
Moose;Kingdom;0.01
Moose;Supergroup;0.18
Moose;Division;1.29
Moose;Class;3.18
Moose;Order;21.63
Moose;Family;35.50
Moose;Genus;77.47
Moose;Species;87.50
Malaspina;Kingdom;6.71
Malaspina;Supergroup;6.89
Malaspina;Division;7.81
Malaspina;Class;9.29
Malaspina;Order;24.29
Malaspina;Family;38.70
Malaspina;Genus;82.56
Malaspina;Species;90.92
Blanes;Kingdom;1.00
Blanes;Supergroup;1.14
Blanes;Division;2.00
Blanes;Class;4.16
Blanes;Order;22.93
Blanes;Family;36.17
Blanes;Genus;73.77
Blanes;Species;84.41
Biomarks;Kingdom;0.11
Biomarks;Supergroup;0.20
Biomarks;Division;0.79
Biomarks;Class;2.42
Biomarks;Order;21.49
Biomarks;Family;34.92
Biomarks;Genus;57.19
Biomarks;Species;68.69